"edge_changes$gained"
"CCL3_S100A8"
"MT-CO2_S100A8"
"S100A8_ZFP36"
"MT-ATP6_S100A8"
"LY6E_S100A8"
"LINC00936_S100A8"
"C1orf162_S100A8"
"ANXA2_S100A8"
"NDUFA13_S100A8"
"CD63_S100A8"
"CTSS_S100A8"
"LAPTM5_S100A8"
"FPR1_S100A8"
"ALDOA_S100A8"
"PPDPF_S100A8"
"CAPG_S100A8"
"S100A8_UBL5"
"IGSF6_S100A8"
"DUSP1_S100A8"
"CORO1A_S100A8"
"HNRNPA1_S100A8"
"CALM3_S100A8"
"MT-CYB_S100A8"
"S100A8_SELL"
"S100A8_SSU72"
"S100A8_SCAND1"
"CIB1_S100A8"
"DHRS7_S100A8"
"HNRNPA0_S100A8"
"MYO1F_S100A8"
"S100A8_TGFBI"
"ATF4_S100A8"
"ENSA_S100A8"
"H2AFV_S100A8"
"S100A8_UBE2D2"
"PGD_S100A8"
"S100A8_ZYX"
"NDUFA3_S100A8"
"RSL1D1_S100A8"
"S100A8_YWHAZ"
"S100A8_TMEM176B"
"ATP5G1_S100A8"
"BCAP31_S100A8"
"CXCR4_S100A8"
"ATOX1_S100A8"
"ENY2_S100A8"
"MEAF6_S100A8"
"CYC1_S100A8"
"S100A8_SH3BGRL3"
"MT-CO3_S100A8"
"QPCT_S100A8"
"HERPUD1_S100A8"
"BSG_S100A8"
"NAA10_S100A8"
"S100A8_TMEM14B"
"GRINA_S100A8"
"ADI1_S100A8"
"S100A8_SSBP1"
"S100A8_TPM4"
"DUSP6_S100A8"
"PRAM1_S100A8"
"RNPS1_S100A8"
"MMP24-AS1_S100A8"
"PA2G4_S100A8"
"S100A8_TUBA4A"
"CCNL1_S100A8"
"EEF1G_S100A8"
"AOAH_S100A8"
"DRAM2_S100A8"
"RAD23A_S100A8"
"S100A8_USMG5"
"S100A8_TXNL1"
"COPS6_S100A8"
"CCNDBP1_S100A8"
"S100A8_TMED9"
"S100A8_TNFRSF1A"
"C19orf24_S100A8"
"FAM65B_S100A8"
"IDS_S100A8"
