"edge_changes$lost"
"S100A8_STXBP2"
"GPX4_S100A8"
"GMFG_S100A8"
"S100A8_SF3B5"
"EMP3_S100A8"
"CNPY3_S100A8"
"CD37_S100A8"
"S100A8_WDR83OS"
"S100A8_UQCRH"
"ANAPC16_S100A8"
"MT-ND2_S100A8"
"GIMAP7_S100A8"
"FGL2_S100A8"
"ISCU_S100A8"
"AHNAK_S100A8"
"S100A8_SLC7A7"
"BLVRA_S100A8"
"S100A8_SAMHD1"
"S100A8_SSR2"
"FYB_S100A8"
"NDUFB10_S100A8"
"CLIC1_S100A8"
"S100A8_SDCBP"
"C9orf16_S100A8"
"S100A8_SRGN"
"S100A8_SRSF3"
"ODF3B_S100A8"
"S100A8_VASP"
"LILRA5_S100A8"
"HLA-A_S100A8"
"NINJ1_S100A8"
"GABARAP_S100A8"
"MYADM_S100A8"
"GIMAP1_S100A8"
"S100A8_STX11"
"OAS1_S100A8"
"MT-ND4_S100A8"
"RTN4_S100A8"
"BNIP3L_S100A8"
"CHMP1B_S100A8"
"S100A8_TMEM258"
"AURKAIP1_S100A8"
"FCGR2A_S100A8"
"LAMTOR5_S100A8"
"FLNA_S100A8"
"ARPC1B_S100A8"
"RHOB_S100A8"
"S100A8_SRSF2"
"RBM8A_S100A8"
"S100A8_TBXAS1"
"S100A8_TIMM13"
"S100A8_UXT"
"PPT1_S100A8"
"CD55_S100A8"
"MSRB1_S100A8"
"GPBAR1_S100A8"
"EIF3E_S100A8"
"S100A8_SELT"
"C20orf27_S100A8"
"RNF181_S100A8"
"PSMD4_S100A8"
"BTG2_S100A8"
"S100A8_SLC11A1"
"GLUL_S100A8"
"EIF6_S100A8"
"ATP5J_S100A8"
"S100A8_VPS29"
"GRB2_S100A8"
"C1orf43_S100A8"
"CSDE1_S100A8"
"CTSA_S100A8"
"ERH_S100A8"
"COX17_S100A8"
"OXA1L_S100A8"
"S100A8_TMEM230"
"MGST3_S100A8"
"S100A8_THEMIS2"
"S100A8_ZFP36L1"
"HLA-B_S100A8"
"C7orf73_S100A8"
