"edge_changes$gained"
"MT-ND2_S100A8"
"S100A8_STXBP2"
"EMP3_S100A8"
"GPX4_S100A8"
"ALDH2_S100A8"
"EIF4A1_S100A8"
"CLIC1_S100A8"
"GMFG_S100A8"
"S100A8_SF3B5"
"CNPY3_S100A8"
"S100A8_SRGN"
"HLA-A_S100A8"
"PPBP_S100A8"
"CD37_S100A8"
"BLVRA_S100A8"
"S100A8_SSR2"
"S100A8_SLC7A7"
"S100A8_WDR83OS"
"FYB_S100A8"
"NDUFB10_S100A8"
"LILRA5_S100A8"
"S100A8_VASP"
"S100A8_SRSF3"
"GNB2L1_S100A8"
"MYADM_S100A8"
"APLP2_S100A8"
"C9orf16_S100A8"
"GIMAP7_S100A8"
"S100A8_UQCRH"
"ODF3B_S100A8"
"CHMP1B_S100A8"
"GABARAP_S100A8"
"S100A8_SCPEP1"
"CHMP2A_S100A8"
"RNF181_S100A8"
"LAMTOR5_S100A8"
"EIF5_S100A8"
"MZT2B_S100A8"
"FGL2_S100A8"
"S100A8_TBXAS1"
"AHNAK_S100A8"
"S100A8_TIMM13"
"NINJ1_S100A8"
"KRTCAP2_S100A8"
"ATP5J_S100A8"
"ERH_S100A8"
"C1orf86_S100A8"
"MSRB1_S100A8"
"S100A8_SRSF2"
"PPT1_S100A8"
"BNIP3L_S100A8"
"AURKAIP1_S100A8"
"FLNA_S100A8"
"PFDN5_S100A8"
"S100A8_THEMIS2"
"GIMAP1_S100A8"
"S100A8_UXT"
"HLA-B_S100A8"
"GRB2_S100A8"
"S100A8_TMEM230"
"RBM8A_S100A8"
"RTN4_S100A8"
"S100A8_SEPW1"
"EIF4G2_S100A8"
"CD4_S100A8"
"S100A8_SELT"
"OAS1_S100A8"
"RNASE6_S100A8"
"EIF6_S100A8"
"COX17_S100A8"
"C7orf73_S100A8"
"BAG1_S100A8"
"PSMD4_S100A8"
"CCDC109B_S100A8"
"FCGR2A_S100A8"
"PMVK_S100A8"
"GADD45B_S100A8"
"FBL_S100A8"
"BTG2_S100A8"
"S100A8_ZFP36L1"
"PSMA5_S100A8"
"HNRNPA3_S100A8"
"S100A8_TUBB"
"CLNS1A_S100A8"
"PAPOLA_S100A8"
"CD300E_S100A8"
"S100A8_VIMP"
"MYEOV2_S100A8"
"C20orf27_S100A8"
"S100A8_TRA2B"
"ETFB_S100A8"
"PYURF_S100A8"
"PTPRE_S100A8"
"LINC00493_S100A8"
"S100A8_SF1"
"COPZ1_S100A8"
"CHMP5_S100A8"
"CMTM3_S100A8"
"PSMA1_S100A8"
"S100A8_SON"
"S100A8_UBE2D1"
"S100A8_TRIM22"
"MID1IP1_S100A8"
"OTUB1_S100A8"
"ARHGEF40_S100A8"
"DECR1_S100A8"
"S100A8_VPS29"
"S100A8_UPP1"
"CYTH4_S100A8"
"S100A8_XBP1"
"H3F3B_S100A8"
"GPBAR1_S100A8"
"S100A8_SP100"
"CDC37_S100A8"
"RTN3_S100A8"
"S100A8_SRRM2"
"MYH9_S100A8"
