"edge_changes$stable"
"S100A8_S100A9"
"FCGR3A_S100A8"
"LGALS2_S100A8"
"HLA-DPB1_S100A8"
"IFITM2_S100A8"
"IFITM3_S100A8"
"HLA-DPA1_S100A8"
"FCN1_S100A8"
"GPX1_S100A8"
"NFKBIA_S100A8"
"ISG15_S100A8"
"LYZ_S100A8"
"GSTP1_S100A8"
"HLA-DRB1_S100A8"
"S100A8_TIMP1"
"ANXA1_S100A8"
"CD52_S100A8"
"MT2A_S100A8"
"MS4A6A_S100A8"
"LGALS3_S100A8"
"CFD_S100A8"
"IFI6_S100A8"
"ITM2B_S100A8"
"CEBPB_S100A8"
"S100A8_SERPINA1"
"GRN_S100A8"
"CD14_S100A8"
"ID2_S100A8"
"JUNB_S100A8"
"NAP1L1_S100A8"
"S100A10_S100A8"
"JUN_S100A8"
"HLA-DRB5_S100A8"
"S100A8_TAGLN2"
"MYL12A_S100A8"
"KLF6_S100A8"
"PSME2_S100A8"
"FKBP1A_S100A8"
"ARPC5_S100A8"
"RGS2_S100A8"
"HLA-DMA_S100A8"
"APOBEC3A_S100A8"
"S100A8_TUBA1A"
"MS4A7_S100A8"
"AP1S2_S100A8"
"CEBPD_S100A8"
"EEF1B2_S100A8"
"S100A8_TNFSF13B"
"S100A8_SH3BGRL"
"S100A8_SRSF5"
"EIF3H_S100A8"
"CALM2_S100A8"
"ATP6V0B_S100A8"
"MYL12B_S100A8"
"DRAP1_S100A8"
"FOSB_S100A8"
"S100A8_TALDO1"
"S100A8_TUBA1B"
"CSTB_S100A8"
"S100A8_VIM"
"PSMA7_S100A8"
"RGS10_S100A8"
"ENO1_S100A8"
"IER2_S100A8"
"H2AFY_S100A8"
"CD99_S100A8"
"S100A8_SLC25A5"
"C10orf54_S100A8"
"FXYD5_S100A8"
"CIRBP_S100A8"
"ATP6V0E1_S100A8"
"IL8_S100A8"
"ITGB2_S100A8"
"PGK1_S100A8"
"CD68_S100A8"
"CALM1_S100A8"
"BTG1_S100A8"
"S100A8_SPI1"
"S100A8_SUMO2"
"S100A8_YWHAB"
"S100A8_TPM3"
"CDA_S100A8"
"HMGB1_S100A8"
"S100A8_TSC22D3"
"PSMB9_S100A8"
"ASAH1_S100A8"
"RHOA_S100A8"
"LSP1_S100A8"
"GLTSCR2_S100A8"
